2025-03-28 09:46:11 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-03-28 09:46:11 [main] INFO  l.i.g.C.CropMonitoringSystemApplication - Starting CropMonitoringSystemApplication using Java 17.0.12 with PID 9820 (C:\Users\malis\Desktop\GDSE\CROP\Crop-Monitoring-System-BACKEND\build\classes\java\main started by malis in C:\Users\malis\Desktop\GDSE\CROP\Crop-Monitoring-System-BACKEND)
2025-03-28 09:46:11 [main] INFO  l.i.g.C.CropMonitoringSystemApplication - The following 1 profile is active: "dev"
2025-03-28 09:46:12 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-03-28 09:46:12 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 116 ms. Found 11 JPA repository interfaces.
2025-03-28 09:46:13 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 5055 (http)
2025-03-28 09:46:13 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-5055"]
2025-03-28 09:46:13 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-03-28 09:46:13 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.31]
2025-03-28 09:46:13 [main] INFO  o.a.c.c.C.[.[.[/cropmonitoringcollector] - Initializing Spring embedded WebApplicationContext
2025-03-28 09:46:13 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1618 ms
2025-03-28 09:46:13 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-03-28 09:46:13 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2025-03-28 09:46:13 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-03-28 09:46:13 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-03-28 09:46:13 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-03-28 09:46:14 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3534651a
2025-03-28 09:46:14 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-03-28 09:46:14 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-03-28 09:46:14 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2025-03-28 09:46:15 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-03-28 09:46:15 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-03-28 09:46:15 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-03-28 09:46:16 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
2025-03-28 09:46:16 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-03-28 09:46:16 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2025-03-28 09:46:16 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-5055"]
2025-03-28 09:46:17 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 5055 (http) with context path '/cropmonitoringcollector'
2025-03-28 09:46:17 [main] INFO  l.i.g.C.CropMonitoringSystemApplication - Started CropMonitoringSystemApplication in 5.756 seconds (process running for 6.344)
2025-03-28 09:47:50 [http-nio-5055-exec-1] INFO  o.a.c.c.C.[.[.[/cropmonitoringcollector] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-03-28 09:47:50 [http-nio-5055-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-03-28 09:47:50 [http-nio-5055-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-03-28 09:47:50 [http-nio-5055-exec-2] INFO  l.i.g.C.service.StaffServiceImpl - Fetching all staff members
